,date,gold,silver,week,month,mean_per_week_gold,mean_per_week_silver,mean_per_month_gold,mean_per_month_silver
0,2020-10-17,4783.12,61.06,42,10,4752.469999999999,61.024,4377.283636363637,53.15909090909091
1,2020-10-16,4740.64,59.98,42,10,4752.469999999999,61.024,4377.283636363637,53.15909090909091
2,2020-10-15,4711.68,60.06,42,10,4752.469999999999,61.024,4377.283636363637,53.15909090909091
3,2020-10-14,4772.77,61.96,42,10,4752.469999999999,61.024,4377.283636363637,53.15909090909091
4,2020-10-13,4754.14,62.06,42,10,4752.469999999999,61.024,4377.283636363637,53.15909090909091
5,2020-10-10,4736.09,60.22,41,10,4338.2025,51.74250000000001,4377.283636363637,53.15909090909091
6,2020-09-10,4737.92,60.02,37,9,4516.59,55.83666666666667,4533.7861111111115,56.52833333333334
7,2020-08-10,4740.23,59.08,33,8,4611.1125,61.2075,4492.892000000001,58.665
8,2020-07-10,4827.56,61.34,28,7,4569.803333333333,56.23,4215.01619047619,47.62857142857143
9,2020-06-10,4771.68,60.07,24,6,4782.445,61.775,3928.87375,41.769999999999996
10,2020-03-10,4786.39,59.92,11,3,4273.57,51.275,3939.070588235295,38.48882352941176
11,2020-02-10,4709.54,58.68,7,2,3580.4625,41.61749999999999,3581.9237499999995,41.020624999999995
12,2020-01-10,4770.62,60.1,2,1,4521.7425,55.5575,3421.162857142857,39.43333333333334
13,2020-09-30,4822.55,61.06,40,9,4134.7975,47.905,4533.7861111111115,56.52833333333334
14,2020-09-29,4681.68,57.9,40,9,4134.7975,47.905,4533.7861111111115,56.52833333333334
15,2020-09-26,4618.65,55.89,39,9,4646.628,58.596000000000004,4533.7861111111115,56.52833333333334
16,2020-09-25,4592.32,55.14,39,9,4646.628,58.596000000000004,4533.7861111111115,56.52833333333334
17,2020-09-24,4635.01,57.92,39,9,4646.628,58.596000000000004,4533.7861111111115,56.52833333333334
18,2020-09-23,4666.73,59.59,39,9,4646.628,58.596000000000004,4533.7861111111115,56.52833333333334
19,2020-09-22,4720.43,64.44,39,9,4646.628,58.596000000000004,4533.7861111111115,56.52833333333334
20,2020-09-19,4715.5,65.28,38,9,4708.312,65.414,4533.7861111111115,56.52833333333334
